,name,lat,temp,Humidity,Cloudiness,Wind_Speed
353,Sechura,-5.56,17.53,90,33,4.25
354,Saint-Pierre,48.95,10.24,93,92,5.7
355,Zhanaozen,43.35,8.12,25,100,5.87
356,Bonthe,7.53,29.43,67,100,3.68
357,Xam Nua,20.42,14.78,99,19,1.46
358,Palmer,-34.85,13.72,82,75,14.4
359,Coihaique,-45.58,8.31,76,75,5.1
360,Black Diamond,50.69,-14.64,84,90,4.1
361,Tucupita,9.06,29.67,70,92,1.06
362,The Valley,18.22,29.65,69,20,5.7
363,Great Falls,47.5,-10.95,78,90,2.6
364,Ishigaki,24.34,23.78,74,0,6.32
365,Half Moon Bay,37.46,9.54,100,90,2.1
366,Havoysund,71.0,-7.0,85,87,2.6
367,Morant Bay,17.88,30.0,55,20,3.6
368,Kurumkan,54.33,-14.39,77,60,0.87
369,Kosonsoy,41.25,6.0,60,0,2.1
370,Gaziantep,37.06,19.14,56,0,2.17
371,Verkhnyaya Inta,65.99,-12.16,96,100,1.35
372,Zemio,5.02,24.53,85,60,1.32
373,Komsomolskiy,67.55,-13.75,99,77,0.32
374,Nikolayevsk-na-amure,53.14,-9.07,89,92,3.18
375,Bartica,6.41,31.0,74,40,4.1
376,Den Helder,52.96,9.52,57,90,4.1
377,Dodge City,37.75,6.63,100,90,1.5
378,Dingle,11.0,23.91,93,99,3.51
379,Meadow Lake,54.13,-17.0,84,20,4.6
380,Ixtapa,20.71,25.77,88,5,1.71
381,Sitka,37.17,6.67,89,0,2.96
382,Borujerd,33.89,17.0,31,0,1.03
383,Kokopo,-4.34,27.74,80,88,7.31
384,Samarai,-10.62,23.08,96,100,3.22
385,Hailar,49.2,-9.75,42,0,3.87
386,Nanortalik,60.14,1.48,80,0,6.28
387,Victoria Point,-27.58,16.44,68,0,2.6
388,Cartagena del Chaira,1.33,29.98,61,53,1.47
389,Marau,-28.45,25.59,65,83,1.26
390,De-Kastri,51.48,-1.02,64,100,5.07
391,Red Bluff,40.18,9.32,57,1,0.63
392,Panama City,30.16,21.37,77,40,4.1
393,Batemans Bay,-35.71,19.62,42,0,0.89
394,Birin,26.89,11.17,95,36,0.76
395,Tiznit,29.7,20.87,42,0,4.54
396,Valparaiso,41.47,3.74,62,90,2.1
397,Te Anau,-45.41,8.3,84,100,1.25
398,Baykit,61.68,-9.77,94,85,1.82
399,Bursa,40.18,21.0,52,1,2.6
400,Nabire,-3.36,22.16,98,100,0.97
401,Bonavista,48.65,7.22,85,100,3.58
402,Temirtau,50.05,-2.0,100,90,5.0
403,Cidreira,-30.17,19.6,62,0,5.02
404,Giaveno,45.04,12.08,87,0,1.5
405,Bassano del Grappa,45.77,12.17,87,40,1.5
406,Weligama,5.97,24.46,90,71,2.28
407,Monroe,41.91,1.47,69,90,2.1
408,Kaka,37.35,8.7,12,0,4.93
409,Port Lincoln,-34.72,13.32,68,99,7.18
410,Salalah,17.01,28.0,78,0,3.6
411,Karpathos,35.51,24.0,78,20,4.1
412,Praia da Vitoria,38.73,19.0,68,20,1.96
413,Tambov,52.73,12.37,78,71,6.85
414,Chulym,55.09,-0.17,71,96,7.29
415,Phuthaditjhaba,-28.53,27.64,22,45,5.6
416,Nouadhibou,20.93,27.0,44,50,9.8
417,Rypin,53.07,10.56,74,99,0.89
418,Taperoa,-7.21,35.48,23,62,5.78
419,Kastamonu,41.38,14.35,54,0,1.22
420,Xuddur,4.12,24.87,80,100,2.45
421,Vawkavysk,53.15,9.0,81,100,4.0
422,Gazanjyk,39.24,10.26,16,100,2.96
423,Dniprovka,48.07,16.49,77,69,4.0
424,Fray Bentos,-33.12,25.56,55,94,4.92
425,Bauta,22.98,26.82,88,20,2.1
426,Kashin,57.36,2.68,81,100,2.71
427,Manicore,-5.81,32.0,66,20,2.6
428,Opuwo,-18.06,33.52,14,98,3.52
429,Bilma,18.69,34.6,10,0,3.51
430,Maragogi,-9.01,26.11,72,26,4.57
431,Riverton,43.02,-1.63,100,90,2.1
432,Falam,22.91,14.22,97,85,0.85
433,Brownsville,25.91,25.89,69,1,5.1
434,Tilaran,10.47,25.99,74,40,3.1
435,Porto Torres,40.84,14.53,59,20,4.1
436,Denpasar,-8.65,26.0,88,40,1.5
437,San Quintin,17.54,23.12,97,100,1.39
438,Edinburg,26.3,25.94,74,1,4.6
439,Togur,58.36,-1.5,96,100,4.07
440,Batagay-Alyta,67.8,-24.69,93,92,1.19
441,North Adams,42.7,6.46,42,1,5.1
442,Sao Felix do Xingu,-6.64,36.36,35,56,2.3
443,Selenginsk,52.01,-4.0,73,9,2.0
444,Tonstad,58.66,3.58,44,75,3.1
445,Port Macquarie,-31.43,11.63,87,0,4.91
446,La Palma,5.36,27.48,61,93,1.55
447,Muroto,33.37,10.65,67,0,2.15
448,Portland,43.66,7.41,56,20,4.6
449,Anori,-3.74,35.15,43,98,2.49
450,Thinadhoo,0.53,28.21,73,100,3.93
451,Kangaatsiaq,68.31,-1.14,91,96,8.21
452,Mangan,27.5,9.42,92,74,1.18
453,Dauriya,49.93,-9.65,44,1,2.87
454,Broome,52.47,8.52,75,20,2.1
455,Dabola,10.74,31.23,48,2,1.51
456,Basco,40.33,7.61,65,1,5.1
457,Evensk,61.92,-1.28,88,100,16.45
458,Bulanash,57.28,4.4,87,59,4.17
459,Gigmoto,13.78,28.04,75,13,2.96
460,North Platte,41.12,-1.21,100,90,7.7
461,Nagato,34.35,12.58,87,40,1.5
462,Vao,59.1,-0.04,73,100,4.71
463,Kuminskiy,58.67,4.03,93,100,5.35
464,Kawalu,-7.38,19.86,96,63,0.47
465,Tete,-16.16,38.0,27,20,5.7
466,Teruel,40.34,11.69,46,40,6.7
467,Coahuayana,18.62,23.95,80,35,0.59
468,Paita,-5.09,17.0,100,1,8.7
469,Unai,-16.36,32.14,44,3,1.49
470,Nueva Gerona,21.88,27.0,78,100,8.43
471,Nadadores,27.03,23.33,69,85,0.89
472,Inuvik,68.36,-12.29,56,40,1.0
473,At-Bashi,41.17,-13.36,83,56,1.12
474,Ginda,30.69,10.32,75,0,1.57
475,Kabompo,-13.6,24.25,62,68,3.9
476,Nyurba,63.29,-21.89,96,0,1.5
477,Zarubino,42.65,7.96,64,100,8.96
478,Amontada,-3.36,36.41,28,0,3.96
479,Taksimo,56.36,-20.21,97,91,0.65
480,Hailey,43.52,-1.0,58,20,4.1
481,Solnechnyy,50.72,-8.0,73,100,2.0
482,Xining,36.62,2.2,93,100,1.76
483,Benghazi,32.12,25.21,50,18,3.05
484,Sangar,63.92,-26.87,94,53,4.32
485,Aksu,52.04,-4.0,92,20,3.0
486,Morden,49.19,-10.57,84,1,5.7
487,Muyezerskiy,63.93,-11.7,95,0,1.42
488,Byron Bay,-28.65,15.34,68,0,4.1
489,Camopi,3.17,34.97,39,4,2.11
490,Karratha,-20.74,27.63,65,0,4.05
491,San Luis,-33.3,28.57,36,0,8.62
492,Hervey Bay,-25.3,17.4,77,2,2.3
493,Shahabad,17.12,24.97,70,18,0.88
494,Charters Towers,-20.07,17.3,90,32,2.73
495,Werda,-25.27,35.71,13,0,5.84
496,High Level,58.52,-22.0,83,20,1.0
497,Sayyan,15.17,16.95,21,0,5.47
498,Grand Island,40.92,0.81,71,1,7.2
499,Tondi,59.41,2.59,74,100,7.2
500,Marienburg,52.12,8.24,93,75,2.1
501,Rockport,28.02,25.34,78,75,5.7
502,Port-Gentil,-0.72,31.0,70,40,5.7
503,Lagos,6.46,31.0,70,75,3.1
504,Jinji,22.16,18.56,81,67,0.18
505,Durban,51.93,-13.26,83,10,3.65
506,Kirensk,57.78,-5.68,94,100,5.57
507,Tateyama,36.66,8.21,98,36,2.01
508,Mana,13.03,36.63,12,0,2.37
509,Peniche,39.36,16.75,72,75,4.1
510,Rocha,-34.48,22.49,49,0,3.57
511,Darnah,32.77,24.91,62,67,3.25
512,Bagdarin,54.44,-14.94,75,100,1.38
513,Fez,34.03,19.0,55,75,5.7
514,Sinnamary,5.38,28.12,77,41,5.12
515,Moerai,-22.43,22.18,70,100,3.24
516,Sistranda,63.73,-1.07,63,40,3.6
517,Robertsport,6.75,27.69,76,0,2.7
518,Nauta,-4.51,31.89,57,59,1.26
519,Tianpeng,28.88,15.99,66,100,2.18
520,Ocara,-4.49,36.04,30,50,3.69
521,Cururupu,-1.82,32.12,51,80,3.6
522,Mogadishu,2.04,29.0,66,20,4.1
523,Zyryanka,65.73,-15.98,94,100,6.35
524,Temir,49.14,-1.8,80,100,4.0
525,Kaniama,-7.57,24.96,87,44,0.82
526,Madera,36.96,8.17,65,1,0.54
527,Alta Floresta,-9.87,34.13,51,58,1.18
528,Sheboygan,43.75,-2.54,92,90,2.26
529,Salaga,8.55,34.27,42,43,0.99
530,Sandwick,54.57,5.82,100,90,3.1
531,Port Hardy,50.7,7.0,93,90,2.1
532,Russellville,35.28,10.66,100,75,2.6
533,Lieksa,63.32,-10.23,88,0,1.88
534,Khorostkiv,49.21,12.22,68,69,1.34
535,Yulara,-25.24,24.0,13,0,3.1
536,Aberdeen,46.98,5.13,93,90,1.5
537,Eureka,40.8,7.78,93,90,0.88
538,Channel-Port aux Basques,47.57,10.28,95,100,17.58
539,Nanyang,33.0,16.61,49,100,1.09
540,Voyvozh,62.89,-6.04,84,100,3.75
541,Olhao,37.03,19.51,72,75,7.7
